Symbol,Name,Country,Sector,Industry
EPAY,Bottomline Technologies Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
EPC,Edgewell Personal Care Company Common Stock,,Consumer Non-Durables,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P. Common Stock,United States,Public Utilities,Natural Gas Distribution
EPHY,Epiphany Technology Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
EPHYU,Epiphany Technology Acquisition Corp. Unit,United States,Finance,Business Services
EPHYW,Epiphany Technology Acquisition Corp. Warrant,United States,Finance,Business Services
EPIX,ESSA Pharma Inc. Common Stock,Canada,Health Care,Major Pharmaceuticals
EPM,Evolution Petroleum Corporation Inc. Common Stock,United States,Energy,Oil & Gas Production
EPR,EPR Properties Common Stock,United States,Consumer Services,Real Estate Investment Trusts
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,United States,,
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,United States,,
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,United States,,
EPRT,Essential Properties Realty Trust Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
EPSN,Epsilon Energy Ltd. Common Share,United States,Energy,Oil & Gas Production
EPWR,Empowerment & Inclusion Capital I Corp. Class A Common Stock,,Finance,Business Services
EPZM,Epizyme Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EQ,Equillium Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EQBK,Equity Bancshares Inc. Class A Common Stock,United States,Finance,Major Banks
EQC,Equity Commonwealth Common Shares of Beneficial Interest,United States,Consumer Services,Real Estate Investment Trusts
EQC^D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,United States,,
EQD,Equity Distribution Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
EQH,Equitable Holdings Inc. Common Stock,United States,Finance,Specialty Insurers
EQH^A,Equitable Holdings Inc. Depositary Shares,United States,,
EQH^C,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,United States,,
EQIX,Equinix Inc. Common Stock REIT,United States,Consumer Services,Real Estate Investment Trusts
EQNR,Equinor ASA,Norway,Energy,Integrated oil Companies
EQOS,Diginex Limited Ordinary Shares,Singapore,Finance,Business Services
EQOSW,Diginex Limited Warrant,Singapore,Finance,Business Services
EQR,Equity Residential Common Shares of Beneficial Interest,United States,Consumer Services,Real Estate Investment Trusts
EQS,Equus Total Return Inc. Common Stock,United States,,
EQT,EQT Corporation Common Stock,United States,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,Canada,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,United States,,
ERES,East Resources Acquisition Company Class A Common Stock,United States,Finance,Business Services
ERESU,East Resources Acquisition Company Unit,United States,Finance,Business Services
ERESW,East Resources Acquisition Company Warrant,United States,Finance,Business Services
ERF,Enerplus Corporation Common Stock,Canada,Energy,Oil & Gas Production
ERH,Wells Fargo Utilities and High Income Fund,,,
ERIC,Ericsson American Depositary Shares,Sweden,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,United States,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,United States,Technology,Industrial Machinery/Components
ERJ,Embraer S.A. Common Stock,Brazil,Capital Goods,Aerospace
ERYP,Erytech Pharma S.A. American Depositary Shares,France,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ES,Eversource Energy (D/B/A) Common Stock,United States,Public Utilities,Electric Utilities: Central
ESBK,Elmira Savings Bank Elmira NY Common Stock,United States,Finance,Major Banks
ESCA,Escalade Incorporated Common Stock,United States,Consumer Non-Durables,Recreational Products/Toys
ESE,ESCO Technologies Inc. Common Stock,United States,Capital Goods,Telecommunications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),Greece,Transportation,Marine Transportation
ESGC,Eros STX Global Corporation A Ordinary Shares,,Consumer Services,Movies/Entertainment
ESGR,Enstar Group Limited Ordinary Shares,Bermuda,Finance,Property-Casualty Insurers
ESGRO,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,Bermuda,Finance,Property-Casualty Insurers
ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Bermuda,Finance,Property-Casualty Insurers
ESI,Element Solutions Inc. Common Stock,United States,Basic Industries,Major Chemicals
ESLT,Elbit Systems Ltd. Ordinary Shares,Israel,Capital Goods,Military/Government/Technical
ESNT,Essent Group Ltd. Common Shares,,Finance,Property-Casualty Insurers
ESP,Espey Mfg. & Electronics Corp. Common Stock,United States,Capital Goods,Industrial Machinery/Components
ESPR,Esperion Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ESQ,Esquire Financial Holdings Inc. Common Stock,United States,Finance,Commercial Banks
ESRT,Empire State Realty Trust Inc. Class A Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ESSA,ESSA Bancorp Inc. Common Stock,United States,Finance,Banks
ESSC,East Stone Acquisition Corporation Ordinary Shares,United States,Technology,Computer Software: Programming Data Processing
ESSCR,East Stone Acquisition Corporation Right,United States,Technology,Computer Software: Programming Data Processing
ESSCU,East Stone Acquisition Corporation Unit,United States,Technology,Computer Software: Programming Data Processing
ESSCW,East Stone Acquisition Corporation Warrant,United States,Technology,Computer Software: Programming Data Processing
ESTA,Establishment Labs Holdings Inc. Common Shares,Costa Rica,Health Care,Industrial Specialties
ESTC,Elastic N.V. Ordinary Shares,United States,Technology,Computer Software: Prepackaged Software
ESTE,Earthstone Energy Inc. Class A Common Stock,United States,Energy,Oil & Gas Production
ESXB,Community Bankers Trust Corporation Common Stock (VA),United States,Finance,Major Banks
ET,Energy Transfer LP Common Units ,United States,Public Utilities,Natural Gas Distribution
ETAC,E.Merge Technology Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
ETACU,E.Merge Technology Acquisition Corp. Unit,United States,Finance,Business Services
ETACW,E.Merge Technology Acquisition Corp. Warrant,United States,Finance,Business Services
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,United States,,
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,United States,,
ETH,Ethan Allen Interiors Inc. Common Stock,United States,Consumer Durables,Home Furnishings
ETI^,Entergy Texas Inc 5.375% Series A Preferred Stock Cumulative No Par Value,United States,,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,,
ETM,Entercom Communications Corp. Common Stock,United States,Consumer Services,Broadcasting
ETN,Eaton Corporation PLC Ordinary Shares,Ireland,Technology,Industrial Machinery/Components
ETNB,89bio Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,United States,,
ETON,Eton Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ETP^C,Energy Transfer Operating L.P. Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,United States,,
ETP^D,Energy Transfer Operating L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,United States,,
ETP^E,Energy Transfer Operating L.P. Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,United States,,
ETR,Entergy Corporation Common Stock,United States,Public Utilities,Electric Utilities: Central
ETRN,Equitrans Midstream Corporation Common Stock ,,Public Utilities,Natural Gas Distribution
ETSY,Etsy Inc. Common Stock,United States,Miscellaneous,Business Services
ETTX,Entasis Therapeutics Holdings Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,United States,,
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,United States,,
ETWO,E2open Parent Holdings Inc.Class A Common Stock,,Technology,EDP Services
ETX           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,,,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,,
EUCG,Euclid Capital Growth ETF,United States,,
EUCR,Eucrates Biomedical Acquisition Corp. Ordinary Shares,United States,Finance,Business Services
EUCRU,Eucrates Biomedical Acquisition Corp. Unit,United States,Finance,Business Services
EUCRW,Eucrates Biomedical Acquisition Corp. Warrant,United States,Finance,Business Services
EURN,Euronav NV Ordinary Shares,,Transportation,Marine Transportation
EUSG,European Sustainable Growth Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services
EUSGU,European Sustainable Growth Acquisition Corp. Unit,United States,Finance,Business Services
EUSGW,European Sustainable Growth Acquisition Corp. Warrant,United States,Finance,Business Services
EVA,Enviva Partners LP Common units representing limited partner interests,United States,Basic Industries,Forest Products
EVAX,Evaxion Biotech A/S American Depositary Share,Denmark,,
EVBG,Everbridge Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
EVBN,Evans Bancorp Inc. Common Stock,United States,Finance,Major Banks
EVC,Entravision Communications Corporation Common Stock,United States,Consumer Services,Broadcasting
EVER,EverQuote Inc. Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
EVF,Eaton Vance Senior Income Trust Common Stock,United States,,
EVFM,Evofem Biosciences Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,United States,,
EVGN,Evogene Ltd Ordinary Shares,Israel,Basic Industries,Agricultural Chemicals
EVH,Evolent Health Inc Class A Common Stock,United States,Consumer Services,Other Consumer Services
EVI,EVI Industries Inc.  Common Stock,United States,Consumer Services,Other Consumer Services
EVK,Ever-Glory International Group Inc. Common Stock,China,Consumer Non-Durables,Apparel
EVLO,Evelo Biosciences Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,,
EVN,Eaton Vance Municipal Income Trust Common Stock,United States,,
EVOJU,Evo Acquisition Corp. Unit,United States,Finance,Business Services
EVOK,Evoke Pharma Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EVOL,Evolving Systems Inc. Common Stock,United States,Technology,EDP Services
EVOP,EVO Payments Inc. Class A Common Stock,United States,Miscellaneous,Business Services
EVR,Evercore Inc. Class A Common Stock,United States,Finance,Investment Managers
EVRG,Evergy Inc. Common Stock,,Public Utilities,Power Generation
EVRI,Everi Holdings Inc. Common Stock,United States,Consumer Services,Services-Misc. Amusement & Recreation
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,United States,,
EVTC,Evertec Inc. Common Stock,Puerto Rico,Technology,EDP Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,United States,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,United States,,
EW,Edwards Lifesciences Corporation Common Stock,United States,Health Care,Industrial Specialties
EWBC,East West Bancorp Inc. Common Stock,United States,Finance,Major Banks
EXAS,Exact Sciences Corporation Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,United States,Public Utilities,Power Generation
EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund Common Shares of Beneficial Interest,United States,,
EXEL,Exelixis Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXFO,EXFO Inc,Canada,Capital Goods,Electrical Products
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,,
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),Canada,Basic Industries,Precious Metals
EXLS,ExlService Holdings Inc. Common Stock,United States,Miscellaneous,Business Services
EXN,Excellon Resources Inc. Common Shares,,Basic Industries,Precious Metals
EXP,Eagle Materials Inc Common Stock,United States,Capital Goods,Building Materials
EXPC,Experience Investment Corp. Class A Common Stock,United States,Miscellaneous,Business Services
EXPCU,Experience Investment Corp. Unit,United States,Miscellaneous,Business Services
EXPCW,Experience Investment Corp. Warrants,United States,Miscellaneous,Business Services
EXPD,Expeditors International of Washington Inc. Common Stock,United States,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,United States,Consumer Services,Transportation Services
EXPI,eXp World Holdings Inc. Common Stock,United States,Finance,Real Estate
EXPO,Exponent Inc. Common Stock,United States,Consumer Services,Professional Services
EXPR,Express Inc. Common Stock,United States,Consumer Services,Clothing/Shoe/Accessory Stores
EXR,Extra Space Storage Inc Common Stock,United States,Consumer Services,Real Estate Investment Trusts
EXTN,Exterran Corporation Common Stock,United States,Technology,Diversified Commercial Services
EXTR,Extreme Networks Inc. Common Stock,United States,Technology,Computer Communications Equipment
EYE,National Vision Holdings Inc. Common Stock,United States,Health Care,Ophthalmic Goods
EYEG,Eyegate Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EYEN,Eyenovia Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
EYES,Second Sight Medical Products Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EYESW,Second Sight Medical Products Inc. Warrants expiring 03/14/2024,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EYPT,EyePoint Pharmaceuticals Inc. Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
EZGO,EZGO Technologies Ltd. Ordinary Shares,China,Consumer Non-Durables,Motor Vehicles
EZPW,EZCORP Inc. Class A Non Voting Common Stock,United States,Consumer Services,Other Specialty Stores
F,Ford Motor Company Common Stock,United States,Capital Goods,Auto Manufacturing
F^B,Ford Motor Company 6.20% Notes due June 1 2059,United States,,
F^C,Ford Motor Company 6% Notes due December 1 2059,United States,,
FAF,First American Corporation (New) Common Stock,United States,Finance,Specialty Insurers
FAII,Fortress Value Acquisition Corp. II Class A Common Stock,,Finance,Business Services
FAM,First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares of Beneficial Interest,United States,,
FAMI,Farmmi Inc. Ordinary Shares,China,Consumer Non-Durables,Packaged Foods
FANG,Diamondback Energy Inc. Commmon Stock,United States,Energy,Oil & Gas Production
FANH,Fanhua Inc. American Depositary Shares,China,Finance,Specialty Insurers
FARM,Farmer Brothers Company Common Stock,United States,Consumer Non-Durables,Packaged Foods
FARO,FARO Technologies Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company Common Stock,United States,Consumer Services,RETAIL: Building Materials
FAT,FAT Brands Inc. Common Stock,United States,Consumer Services,Restaurants
FATBP,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock,United States,Consumer Services,Restaurants
FATBW,FAT Brands Inc. Warrant,United States,Consumer Services,Restaurants
FATE,Fate Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FAUG,FT Cboe Vest U.S. Equity Buffer ETF - August,United States,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,United States,,
FB,Facebook Inc. Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
FBC,Flagstar Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
FBHS,Fortune Brands Home & Security Inc. Common Stock,United States,Basic Industries,Forest Products
FBIO,Fortress Biotech Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,Health Care,Major Pharmaceuticals
FBIZ,First Business Financial Services Inc. Common Stock,United States,Finance,Major Banks
FBK,FB Financial Corporation Common Stock,United States,Finance,Major Banks
FBMS,First Bancshares Inc.,United States,Finance,Major Banks
FBNC,First Bancorp Common Stock,United States,Finance,Major Banks
FBP,First BanCorp. New Common Stock,Puerto Rico,Finance,Major Banks
FBRX,Forte Biosciences Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
FBSS,Fauquier Bankshares Inc. Common Stock,United States,Finance,Major Banks
FC,Franklin Covey Company Common Stock,United States,Consumer Services,Other Consumer Services
FCAC,Falcon Capital Acquisition Corp. Class A Common Stock,United States,Health Care,Medical/Nursing Services
FCACU,Falcon Capital Acquisition Corp. Unit,United States,Health Care,Medical/Nursing Services
FCACW,Falcon Capital Acquisition Corp. Warrant,United States,Health Care,Medical/Nursing Services
FCAP,First Capital Inc. Common Stock,United States,Finance,Savings Institutions
FCAX,Fortress Capital Acquisition Corp. Class A Ordinary Shares,,Finance,Business Services
FCBC,First Community Bankshares Inc. (VA) Common Stock,United States,Finance,Major Banks
FCBP,First Choice Bancorp Common Stock,United States,Finance,Major Banks
FCCO,First Community Corporation Common Stock,United States,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ) Common Stock,United States,Finance,Savings Institutions
FCEL,FuelCell Energy Inc. Common Stock,United States,Energy,Industrial Machinery/Components
FCF,First Commonwealth Financial Corporation Common Stock,United States,Finance,Major Banks
FCFS,FirstCash Inc. Common Stock,United States,Consumer Services,Other Specialty Stores
FCN,FTI Consulting Inc. Common Stock,United States,Consumer Services,Professional Services
FCNCA,First Citizens BancShares Inc. Class A Common Stock,United States,Finance,Major Banks
FCNCP,First Citizens BancShares Inc. Depositary Shares,United States,Finance,Major Banks
FCO,Aberdeen Global Income Fund Inc. Common Stock,United States,,
FCPT,Four Corners Property Trust Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
FCRD,First Eagle Alternative Capital BDC Inc. Common Stock,United States,,
FCRW,First Eagle Alternative Capital BDC Inc. 6.125% Notes Due 2023,United States,,
FCRZ,First Eagle Alternative Capital BDC Inc. 6.75% Notes due 2022,United States,,
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,United States,,
FCX,Freeport-McMoRan Inc. Common Stock,United States,Basic Industries,Precious Metals
FDBC,Fidelity D & D Bancorp Inc. Common Stock,United States,Finance,Major Banks
FDEC,FT Cboe Vest U.S. Equity Buffer ETF - December,United States,,
FDEU,First Trust Dynamic Europe Equity Income Fund Common Shares of Beneficial Interest,,,
FDG,American Century Focused Dynamic Growth ETF,,,
FDMT,4D Molecular Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FDP,Fresh Del Monte Produce Inc. Common Stock,Cayman Islands,Consumer Non-Durables,Farming/Seeds/Milling
FDS,FactSet Research Systems Inc. Common Stock,United States,Technology,Computer Software: Programming Data Processing
FDUS,Fidus Investment Corporation Common Stock,United States,,
FDUSG,Fidus Investment Corporation 5.375% Notes Due 2024,United States,,
FDUSZ,Fidus Investment Corporation 6% Notes due 2024,United States,,
FDX,FedEx Corporation Common Stock,United States,Transportation,Air Freight/Delivery Services
FE,FirstEnergy Corp. Common Stock,United States,Public Utilities,Electric Utilities: Central
FEBZ,TrueShares Structured Outcome (February) ETF,United States,,
FEDU,Four Seasons Education (Cayman) Inc. American Depositary Shares each two ADSs representing one ordinary share,,Consumer Services,Other Consumer Services
FEDX,Emles Federal Contractors ETF,,,
FEI           ,First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,,,
FEIM,Frequency Electronics Inc. Common Stock,United States,Capital Goods,Electrical Products
FELE,Franklin Electric Co. Inc. Common Stock,United States,Consumer Durables,Metal Fabrications
FEN,First Trust Energy Income and Growth Fund,United States,,
FENC,Fennec Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FENG,Phoenix New Media Limited American Depositary Shares each representing 8 Class A ordinary shares.,China,Consumer Services,Broadcasting
FEO,First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest,United States,,
FERG,Ferguson plc Ordinary Shares,,Capital Goods,Miscellaneous
FET,Forum Energy Technologies Inc. Common Stock,United States,Energy,Metal Fabrications
FEYE,FireEye Inc. Common Stock,United States,Technology,Computer peripheral equipment
FF,FutureFuel Corp.  Common shares,United States,Basic Industries,Major Chemicals
FFA,First Trust Enhanced Equity Income Fund,United States,,
FFBC,First Financial Bancorp. Common Stock,United States,Finance,Major Banks
FFBW,FFBW Inc. Common Stock (MD),United States,Finance,Savings Institutions
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,,,
FFEB,FT Cboe Vest U.S. Equity Buffer ETF - February,United States,,
FFG,FBL Financial Group Inc. Common Stock,United States,Finance,Life Insurance
FFHL,Fuwei Films (Holdings) Co. Ltd. Ordinary Shares,China,Capital Goods,Specialty Chemicals
FFIC,Flushing Financial Corporation Common Stock,United States,Finance,Major Banks
FFIN,First Financial Bankshares Inc. Common Stock,United States,Finance,Major Banks
FFIV,F5 Networks Inc. Common Stock,United States,Technology,Computer Communications Equipment
FFNW,First Financial Northwest Inc. Common Stock,United States,Finance,Major Banks
FFWM,First Foundation Inc. Common Stock,United States,Finance,Major Banks
FGB,First Trust Specialty Finance and Financial Opportunities Fund,United States,,
FGBI,First Guaranty Bancshares Inc. Common Stock,United States,Finance,Savings Institutions
FGEN,FibroGen Inc Common Stock,United States,Health Care,Major Pharmaceuticals
FGF,FG Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
FGFPP,FG Financial Group Inc. 8.00% Cumulative Preferred Stock,United States,Finance,Property-Casualty Insurers
FGNA,FG New America Acquisition Corp. Class A Common Stock,,Finance,Business Services
FGRO,Fidelity Growth Opportunities ETF,,,
FHB,First Hawaiian Inc. Common Stock,United States,Finance,Major Banks
FHI,Federated Hermes Inc. Common Stock,United States,Finance,Investment Managers
FHN,First Horizon Corporation Common Stock,United States,Finance,Major Banks
FHN^A,First Horizon Corporation Depositary Shares,United States,,
FHN^B,First Horizon Corporation Depositary Shares each representing a 1/400th interest in a share of Non-Cumulative Perpetual Preferred Stock Series B,United States,,
FHN^C,First Horizon Corporation Depositary Shares each representing a 1/400th interest in a share of Non-Cumulative Perpetual Preferred Stock Series C,United States,,
FHN^D,First Horizon Corporation Depositary Shares each representing a 1/400th interest in a share of Non-Cumulative Perpetual Preferred Stock Series D,United States,,
FHN^E,First Horizon Corporation Depositary Shares each representing a 1/4000th interest in a share of Non-Cumulative Perpetual Preferred Stock Series E,United States,,
FHTX,Foghorn Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
FI,Frank's International N.V. Common Stock,,Energy,Oilfield Services/Equipment
FIBK,First Interstate BancSystem Inc. Class A Common Stock,United States,Finance,Major Banks
FICO,Fair Isaac Corproation Common Stock,United States,Miscellaneous,Business Services
FIF,First Trust Energy Infrastructure Fund Common Shares of Beneficial Interest,United States,,
FIII,Forum Merger III Corporation Class A Common stock,United States,Capital Goods,Auto Manufacturing
FIIIU,Forum Merger III Corporation Units,United States,Capital Goods,Auto Manufacturing
FIIIW,Forum Merger III Corporation Warrant,United States,Capital Goods,Auto Manufacturing
FINMU,Marlin Technology Corporation Unit,United States,Finance,Business Services
FINMW,Marlin Technology Corporation Warrant,United States,Finance,Business Services
FINS,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,,,
FINV,FinVolution Group American Depositary Shares,United States,Finance,Finance: Consumer Services
FIS,Fidelity National Information Services Inc. Common Stock,United States,Miscellaneous,Business Services
FISI,Financial Institutions Inc. Common Stock,United States,Finance,Major Banks
FISV,Fiserv Inc. Common Stock,United States,Technology,EDP Services
FITB,Fifth Third Bancorp Common Stock,United States,Finance,Major Banks
FITBI,Fifth Third Bancorp Depositary Shares,United States,Finance,Major Banks
FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,United States,Finance,Major Banks
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,United States,Finance,Major Banks
FIV,First Trust Senior Floating Rate 2022 Target Term Fund Common Shares of Beneficial Interest,United States,,
FIVE,Five Below Inc. Common Stock,United States,Consumer Services,Department/Specialty Retail Stores
FIVN,Five9 Inc. Common Stock,United States,Technology,EDP Services
FIX,Comfort Systems USA Inc. Common Stock,United States,Capital Goods,Engineering & Construction
FIXX,Homology Medicines Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
FIZZ,National Beverage Corp. Common Stock,United States,Consumer Non-Durables,Beverages (Production/Distribution)
FJAN,FT Cboe Vest U.S. Equity Buffer ETF - January,United States,,
FJUL,FT Cboe Vest U.S. Equity Buffer ETF - July,United States,,
FJUN,FT Cboe Vest U.S. Equity Buffer ETF - June,United States,,
FL,Foot Locker Inc.,United States,Consumer Services,Clothing/Shoe/Accessory Stores
FLAC,Frazier Lifesciences Acquisition Corporation Class A Ordinary Shares,United States,Finance,Business Services
FLACU,Frazier Lifesciences Acquisition Corporation Unit,United States,Finance,Business Services
FLACW,Frazier Lifesciences Acquisition Corporation Warrant,United States,Finance,Business Services
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,United States,,
FLDM,Fluidigm Corporation Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FLEX,Flex Ltd. Ordinary Shares,Singapore,Technology,Electrical Products
FLGT,Fulgent Genetics Inc. Common Stock,United States,Health Care,Medical Specialities
FLIC,First of Long Island Corporation (The) Common Stock,United States,Finance,Major Banks
FLIR,FLIR Systems Inc. (DE) Common Stock,United States,Capital Goods,Industrial Machinery/Components
FLL,Full House Resorts Inc. Common Stock,United States,Consumer Services,Hotels/Resorts
FLMN,Falcon Minerals Corporation Class A Common Stock,United States,Energy,Oil & Gas Production
FLMNW,Falcon Minerals Corporation Warrant,United States,Energy,Oil & Gas Production
FLNG,FLEX LNG Ltd. Ordinary Shares,,Consumer Services,Marine Transportation
FLNT,Fluent Inc. Common Stock,United States,Consumer Services,Advertising
FLO,Flowers Foods Inc. Common Stock,United States,Consumer Non-Durables,Packaged Foods
FLOW,SPX FLOW Inc. Common Stock,United States,Technology,Industrial Machinery/Components
FLR,Fluor Corporation Common Stock,United States,Basic Industries,Military/Government/Technical
FLS,Flowserve Corporation Common Stock,United States,Capital Goods,Fluid Controls
FLT,FleetCor Technologies Inc. Common Stock,United States,Miscellaneous,Business Services
FLUX,Flux Power Holdings Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
FLV,American Century Focused Large Cap Value ETF,,,
FLWS,1-800-FLOWERS.COM Inc. Common Stock,United States,Consumer Services,Other Specialty Stores
FLXN,Flexion Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
FLXS,Flexsteel Industries Inc. Common Stock,United States,Consumer Durables,Home Furnishings
FLY,Fly Leasing Limited,Ireland,,
FMAC,FirstMark Horizon Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
FMAG,Fidelity Magellan ETF,,,
FMAO,Farmers & Merchants Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
FMAY,FT Cboe Vest U.S. Equity Buffer ETF - May,United States,,
FMBH,First Mid Bancshares Inc. Common Stock,United States,Finance,Major Banks
FMBI,First Midwest Bancorp Inc. Common Stock,United States,Finance,Major Banks
FMBIO,First Midwest Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series C,United States,Finance,Major Banks
FMBIP,First Midwest Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,Finance,Major Banks
FMC,FMC Corporation Common Stock,United States,Basic Industries,Major Chemicals
